"","year_week","new_cases","weekly_temp","week","year","date"
"1","2020-W09",6,11.7857142857143,9,2020,2020-02-24
"2","2020-W10",80,13.9571428571429,10,2020,2020-03-02
"3","2020-W11",318,13.6,11,2020,2020-03-09
"4","2020-W12",374,11.0857142857143,12,2020,2020-03-16
"5","2020-W13",535,11.8714285714286,13,2020,2020-03-23
"6","2020-W14",529,11.9,14,2020,2020-03-30
"7","2020-W15",288,13.7142857142857,15,2020,2020-04-06
"8","2020-W16",117,15.1571428571429,16,2020,2020-04-13
"9","2020-W17",299,14.6285714285714,17,2020,2020-04-20
"10","2020-W18",103,19.0571428571429,18,2020,2020-04-27
"11","2020-W19",99,18.1285714285714,19,2020,2020-05-04
"12","2020-W20",104,23.9428571428571,20,2020,2020-05-11
"13","2020-W21",47,22.2571428571429,21,2020,2020-05-18
"14","2020-W22",46,17.6571428571429,22,2020,2020-05-25
"15","2020-W23",135,20.4428571428571,23,2020,2020-06-01
"16","2020-W24",120,24.6142857142857,24,2020,2020-06-08
"17","2020-W25",114,26.0285714285714,25,2020,2020-06-15
"18","2020-W26",119,25.1714285714286,26,2020,2020-06-22
"19","2020-W27",203,28.8,27,2020,2020-06-29
"20","2020-W28",257,27.1142857142857,28,2020,2020-07-06
"21","2020-W29",175,25.8285714285714,29,2020,2020-07-13
"22","2020-W30",246,28.2714285714286,30,2020,2020-07-20
"23","2020-W31",560,30.3857142857143,31,2020,2020-07-27
"24","2020-W32",1080,26.5857142857143,32,2020,2020-08-03
"25","2020-W33",1594,28.4857142857143,33,2020,2020-08-10
"26","2020-W34",1662,27.5142857142857,34,2020,2020-08-17
"27","2020-W35",1445,27.6857142857143,35,2020,2020-08-24
"28","2020-W36",1343,27.6285714285714,36,2020,2020-08-31
"29","2020-W37",1758,27.1142857142857,37,2020,2020-09-07
"30","2020-W38",2235,24.9857142857143,38,2020,2020-09-14
"31","2020-W39",2188,23.7857142857143,39,2020,2020-09-21
"32","2020-W40",2390,22.6428571428571,40,2020,2020-09-28
"33","2020-W41",2489,22.5142857142857,41,2020,2020-10-05
"34","2020-W42",3345,21,42,2020,2020-10-12
"35","2020-W43",6284,18.7142857142857,43,2020,2020-10-19
"36","2020-W44",11254,17.2428571428571,44,2020,2020-10-26
"37","2020-W45",17165,16.4142857142857,45,2020,2020-11-02
"38","2020-W46",18265,15.6714285714286,46,2020,2020-11-09
"39","2020-W47",16288,13.5,47,2020,2020-11-16
"40","2020-W48",12258,12.7285714285714,48,2020,2020-11-23
"41","2020-W49",10603,12.9142857142857,49,2020,2020-11-30
"42","2020-W50",8294,13.6285714285714,50,2020,2020-12-07
"43","2020-W51",6010,12.2,51,2020,2020-12-14
"44","2020-W52",4285,12.8428571428571,52,2020,2020-12-21
"45","2020-W53",4502,13.6714285714286,53,2020,2020-12-28
"46","2021-W01",4618,14.2285714285714,1,2021,2021-01-04
"47","2021-W02",3555,10.3571428571429,2,2021,2021-01-11
"48","2021-W03",3366,8.4,3,2021,2021-01-18
"49","2021-W04",5458,10.5285714285714,4,2021,2021-01-25
"50","2021-W05",7429,13.1571428571429,5,2021,2021-02-01
"51","2021-W06",8490,12.5142857142857,6,2021,2021-02-08
"52","2021-W07",8126,5.44285714285714,7,2021,2021-02-15
"53","2021-W08",11845,12.1428571428571,8,2021,2021-02-22
"54","2021-W09",14536,11.6,9,2021,2021-03-01
"55","2021-W10",16795,11.7285714285714,10,2021,2021-03-08
"56","2021-W11",16554,12.2857142857143,11,2021,2021-03-15
"57","2021-W12",17824,9.71428571428571,12,2021,2021-03-22
"58","2021-W13",22228,13.2142857142857,13,2021,2021-03-29
"59","2021-W14",20984,12.9857142857143,14,2021,2021-04-05
"60","2021-W15",19738,14.8142857142857,15,2021,2021-04-12
"61","2021-W16",18132,15.9428571428571,16,2021,2021-04-19
"62","2021-W17",14749,18.8571428571429,17,2021,2021-04-26
"63","2021-W18",15254,21.7857142857143,18,2021,2021-05-03
"64","2021-W19",15058,19.7857142857143,19,2021,2021-05-10
"65","2021-W20",12435,21.6857142857143,20,2021,2021-05-17
"66","2021-W21",11020,23.2714285714286,21,2021,2021-05-24
"67","2021-W22",7497,20.8714285714286,22,2021,2021-05-31
"68","2021-W23",4936,22.9714285714286,23,2021,2021-06-07
"69","2021-W24",3096,23.2285714285714,24,2021,2021-06-14
"70","2021-W25",2573,28.8571428571429,25,2021,2021-06-21
"71","2021-W26",5174,29.7285714285714,26,2021,2021-06-28
"72","2021-W27",13657,28.8857142857143,27,2021,2021-07-05
"73","2021-W28",17983,30.0285714285714,28,2021,2021-07-12
"74","2021-W29",18102,27.7714285714286,29,2021,2021-07-19
"75","2021-W30",18519,31.4857142857143,30,2021,2021-07-26
"76","2021-W31",19594,31.7,31,2021,2021-08-02
"77","2021-W32",22574,29.1285714285714,32,2021,2021-08-09
"78","2021-W33",22392,27.8857142857143,33,2021,2021-08-16
"79","2021-W34",21732,27.8571428571429,34,2021,2021-08-23
"80","2021-W35",17542,26.0857142857143,35,2021,2021-08-30
"81","2021-W36",14671,22.4714285714286,36,2021,2021-09-06
"82","2021-W37",15268,26.1714285714286,37,2021,2021-09-13
"83","2021-W38",14091,22.7857142857143,38,2021,2021-09-20
"84","2021-W39",14954,21.0714285714286,39,2021,2021-09-27
"85","2021-W40",15354,19.0285714285714,40,2021,2021-10-04
"86","2021-W41",17466,17.9,41,2021,2021-10-11
"87","2021-W42",22626,17.5857142857143,42,2021,2021-10-18
"88","2021-W43",26715,15.5285714285714,43,2021,2021-10-25
"89","2021-W44",43399,17.8142857142857,44,2021,2021-11-01
"90","2021-W45",46413,14.6428571428571,45,2021,2021-11-08
"91","2021-W46",46910,14.2,46,2021,2021-11-15
"92","2021-W47",45253,14.6428571428571,47,2021,2021-11-22
"93","2021-W48",41268,6.01428571428571,48,2021,2021-11-29
